strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.21371955183	60.0	0.0	53.5	0.00262622038523	0.000135131165935	EnergyUnawareStrategyPlacement	8395.16	0.0	4.35987885734	0.0	8395.16	0.0	6.5	53.5	0.0	0.00262622038523	16.0	16.0	60.0	0.0	0.0	0.0	6.5	0.0	16.0	0.21371955183	16.0
0	0	0.212214465837	60.0	0.0	47.4333333333	0.00677308241526	0.000273691748686	EnergyUnawareStrategyPlacement	8778.68	0.0	4.32917510308	0.0	8778.68	0.0	12.5666666667	47.4333333333	0.0	0.00677308241526	32.0	32.0	60.0	0.0	0.0	0.0	12.5666666667	0.0	32.0	0.212214465837	32.0
0	0	0.361632042406	60.0	0.0	39.6	0.0137456496557	0.000437150439439	EnergyUnawareStrategyPlacement	9124.8	0.0	7.37729366508	0.0	9124.8	0.0	20.4	39.6	0.0	0.0137456496557	48.0	48.0	60.0	0.0	0.0	0.0	20.4	0.0	48.0	0.361632042406	48.0
0	0	0.53125313118	60.0	0.0	32.1	0.0224254528681	0.000510330127688	EnergyUnawareStrategyPlacement	9368.92	0.0	10.8375638761	0.0	9368.92	0.0	27.9	32.1	0.0	0.0224254528681	64.0	64.0	60.0	0.0	0.0	0.0	27.9	0.0	64.0	0.53125313118	64.0
0	0	0.456625828364	60.0	0.0	26.5666666667	0.033048081398	0.00064166273885	EnergyUnawareStrategyPlacement	9651.8	0.0	9.31516689862	0.0	9651.8	0.0	33.4333333333	26.5666666667	0.0	0.033048081398	80.0	80.0	60.0	0.0	0.0	0.0	33.4333333333	0.0	80.0	0.456625828364	80.0
0	0	0.420064020037	60.0	0.0	20.1	0.0464241345723	0.000879717467066	EnergyUnawareStrategyPlacement	10107.4	0.0	8.56930600874	0.0	10107.4	0.0	39.9	20.1	0.0	0.0464241345723	96.0	96.0	60.0	0.0	0.0	0.0	39.9	0.0	96.0	0.420064020037	96.0
0	0	0.554140097983	60.0	0.0	11.9333333333	0.0629817247391	0.00109241692352	EnergyUnawareStrategyPlacement	10525.6	0.0	11.3044579989	0.0	10525.6	0.0	48.0666666667	11.9333333333	0.0	0.0629817247391	112.0	112.0	60.0	0.0	0.0	0.0	48.0666666667	0.0	112.0	0.554140097983	112.0
0	0	0.609901069639	60.0	0.0	5.76666666667	0.0792852163315	0.00107450703337	EnergyUnawareStrategyPlacement	10998.2	0.0	12.4419818206	0.0	10998.2	0.0	54.2333333333	5.76666666667	0.0	0.0792852163315	128.0	128.0	60.0	0.0	0.0	0.0	54.2333333333	0.0	128.0	0.609901069639	128.0
0	0	0.0947361733231	60.0	0.0	0.0666666666667	0.101194087664	0.00122999176743	EnergyUnawareStrategyPlacement	11457.1546667	0.0	37.1678258821	0.0	11457.1546667	0.0	59.9333333333	0.0666666666667	0.99561556322	0.101194087664	141.166666667	141.166666667	60.0	2.83333333333	0.99561556322	2.83333333333	59.9333333333	0.0	144.0	0.0947361733231	144.0
0	0	0.0	60.0	0.0	0.0	0.118005784353	0.00125907688079	EnergyUnawareStrategyPlacement	11656.5306667	0.0	47.1000391619	0.0	11656.5306667	0.0	60.0	0.0	1.24785917875	0.118005784353	146.266666667	146.266666667	60.0	13.7333333333	1.24785917875	13.7333333333	60.0	0.0	160.0	0.0	160.0
0	0	0.0	60.0	0.0	0.0	0.138643614451	0.00185976969722	EnergyUnawareStrategyPlacement	11686.5866667	0.0	71.378819791	0.0	11686.5866667	0.0	60.0	0.0	1.89116752313	0.138643614451	147.066666667	147.066666667	60.0	28.9333333333	1.89116752313	28.9333333333	60.0	0.0	176.0	0.0	176.0
0	0	0.0	60.0	0.0	0.0	0.158820327123	0.00165351619836	EnergyUnawareStrategyPlacement	11640.6186667	0.0	72.3448599696	0.0	11640.6186667	0.0	60.0	0.0	1.72138706813	0.158820327123	145.3	145.3	60.0	46.7	1.72138706813	46.7	60.0	0.0	192.0	0.0	192.0
0	0	0.0	60.0	0.0	0.0	0.178756133715	0.00165649978141	EnergyUnawareStrategyPlacement	11674.8	0.0	82.7466396285	0.0	11674.8	0.0	60.0	0.0	1.49796391839	0.178756133715	145.1	145.1	60.0	62.9	1.49796391839	62.9	60.0	0.0	208.0	0.0	208.0
0	0	0.0	60.0	0.0	0.0	0.201148843765	0.00210883607785	EnergyUnawareStrategyPlacement	11638.1253333	0.0	63.7258230442	0.0	11638.1253333	0.0	60.0	0.0	1.55156954998	0.201148843765	146.1	146.1	60.0	77.9	1.55156954998	77.9	60.0	0.0	224.0	0.0	224.0
0	0	0.0	60.0	0.0	0.0	0.222835803032	0.00212897048005	EnergyUnawareStrategyPlacement	11683.8213333	0.0	67.3782372715	0.0	11683.8213333	0.0	60.0	0.0	1.55198266842	0.222835803032	147.033333333	147.033333333	60.0	92.9666666667	1.55198266842	92.9666666667	60.0	0.0	240.0	0.0	240.0
0	0	0.0	60.0	0.0	0.0	0.244434189796	0.0020244250209	EnergyUnawareStrategyPlacement	11714.24	0.0	73.0809023057	0.0	11714.24	0.0	60.0	0.0	1.8106402997	0.244434189796	144.733333333	144.733333333	60.0	111.266666667	1.8106402997	111.266666667	60.0	0.0	256.0	0.0	256.0
0	0	0.0	60.0	0.0	0.0	0.266217168172	0.00179831678257	EnergyUnawareStrategyPlacement	11737.496	0.0	70.3883338525	0.0	11737.496	0.0	60.0	0.0	1.72208520137	0.266217168172	145.8	145.8	60.0	126.2	1.72208520137	126.2	60.0	0.0	272.0	0.0	272.0
0	0	0.0	60.0	0.0	0.0	0.28792690436	0.00197451231107	EnergyUnawareStrategyPlacement	11745.3386667	0.0	77.5695080826	0.0	11745.3386667	0.0	60.0	0.0	2.3602701213	0.28792690436	147.666666667	147.666666667	60.0	140.333333333	2.3602701213	140.333333333	60.0	0.0	288.0	0.0	288.0
