#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	6	14	0	16	0	1217.76	OpenOptStrategyPlacement	0.08305883407592773
20	32	11	9	0	32	0	2270.04	OpenOptStrategyPlacement	0.110260009765625
20	48	16	4	0	48	0	3320.96	OpenOptStrategyPlacement	0.20864295959472656
20	64	20	0	0	60	4	4028.96	OpenOptStrategyPlacement	0.35771703720092773
20	80	20	0	0	69	11	4262.88	OpenOptStrategyPlacement	0.475726842880249
20	96	20	0	0	74	22	4368.959999999999	OpenOptStrategyPlacement	0.629878044128418
20	112	20	0	0	81	31	4613.760000000001	OpenOptStrategyPlacement	0.796705961227417
20	128	20	0	0	85	43	4631.4400000000005	OpenOptStrategyPlacement	0.9154510498046875
20	144	20	0	0	86	58	4575.68	OpenOptStrategyPlacement	1.105299949645996
20	160	20	0	0	93	67	4749.759999999999	OpenOptStrategyPlacement	1.2650041580200195
20	176	20	0	0	95	81	4719.839999999999	OpenOptStrategyPlacement	1.4916458129882812
20	192	20	0	0	97	95	4762.0	OpenOptStrategyPlacement	1.7099759578704834
20	208	20	0	0	99	109	4753.840000000001	OpenOptStrategyPlacement	1.8715779781341553
20	224	20	0	0	103	121	4730.719999999999	OpenOptStrategyPlacement	2.0400331020355225
20	240	20	0	0	103	137	4639.599999999999	OpenOptStrategyPlacement	2.3313097953796387
20	256	20	0	0	104	152	4741.6	OpenOptStrategyPlacement	2.6035242080688477
20	272	20	0	0	106	166	4804.160000000001	OpenOptStrategyPlacement	2.728771924972534
20	288	20	0	0	108	180	4752.48	OpenOptStrategyPlacement	2.880608081817627
