#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	11	49	0	16	0	2494.5200000000004	OpenOptStrategyPlacement	0.11604881286621094
60	32	19	41	0	32	0	4081.8799999999997	OpenOptStrategyPlacement	0.17528200149536133
60	48	30	30	0	48	0	6319.920000000001	OpenOptStrategyPlacement	0.36383986473083496
60	64	37	23	0	64	0	7825.4800000000005	OpenOptStrategyPlacement	0.5335490703582764
60	80	41	19	0	80	0	8670.84	OpenOptStrategyPlacement	0.7049520015716553
60	96	51	9	0	96	0	10515.64	OpenOptStrategyPlacement	0.9744410514831543
60	112	60	0	0	110	2	12120.879999999997	OpenOptStrategyPlacement	1.3851370811462402
60	128	60	0	0	120	8	12305.84	OpenOptStrategyPlacement	1.7112500667572021
60	144	60	0	0	127	17	12346.639999999996	OpenOptStrategyPlacement	2.111419916152954
60	160	60	0	0	136	24	12501.679999999997	OpenOptStrategyPlacement	2.3815600872039795
60	176	60	0	0	144	32	13082.399999999994	OpenOptStrategyPlacement	2.767970085144043
60	192	60	0	0	150	42	12156.240000000002	OpenOptStrategyPlacement	3.24069881439209
60	208	60	0	0	157	51	12787.279999999992	OpenOptStrategyPlacement	3.822683811187744
60	224	60	0	0	166	58	12478.560000000001	OpenOptStrategyPlacement	4.257447957992554
60	240	60	0	0	176	64	13109.600000000008	OpenOptStrategyPlacement	4.611311912536621
60	256	60	0	0	182	74	12924.640000000005	OpenOptStrategyPlacement	5.249464988708496
60	272	60	0	0	192	80	13430.560000000001	OpenOptStrategyPlacement	5.650475025177002
60	288	60	0	0	196	92	13372.080000000002	OpenOptStrategyPlacement	6.197074890136719
