strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	10.0	0.0	0.0	1.13464944363	0.0128757736845	EvolutionaryComputationStrategyPlacement	2071.412	0.0681743214044	14.8468980299	0.0333333333333	1976.4	1.0	9.0	0.0	0.207633758186	1.04707288742	15.3666666667	16.0	10.0	0.0	0.207633758186	0.633333333333	9.96666666667	0.0	16.0	0.0681743214044	16.0
0	0	0.0	10.0	0.0	0.0	1.48004654249	0.0114482890062	EvolutionaryComputationStrategyPlacement	2279.58933333	0.0	19.2047484978	0.0	2174.96	0.0	10.0	0.0	0.207633758186	1.41315793991	19.6333333333	20.0	10.0	12.0	0.207633758186	12.3666666667	10.0	0.0	32.0	0.0	32.0
0	0	0.0	10.0	0.0	0.0	1.82623956998	0.0120574940393	EvolutionaryComputationStrategyPlacement	2299.44533333	0.0	13.1047575325	0.0	2214.4	0.0	10.0	0.0	0.0	1.73879790306	20.0	20.0	10.0	28.0	0.0	28.0	10.0	0.0	48.0	0.0	48.0
0	0	0.0	10.0	0.0	0.0	2.17850488822	0.00885325408775	EvolutionaryComputationStrategyPlacement	2243.00533333	0.0	18.2330046306	0.0	2117.84	0.0	10.0	0.0	0.167949284773	2.13942694664	19.9333333333	21.0	10.0	43.0	0.167949284773	44.0666666667	10.0	0.0	64.0	0.0	64.0
0	0	0.0	10.0	0.0	0.0	2.53451257547	0.012967540916	EvolutionaryComputationStrategyPlacement	2215.98666667	0.0	22.075991852	0.0	2072.96	0.0	10.0	0.0	0.315476943769	2.48220205307	19.1	20.0	10.0	60.0	0.315476943769	60.9	10.0	0.0	80.0	0.0	80.0
0	0	0.0	10.0	0.0	0.0	2.87862379551	0.0130611173918	EvolutionaryComputationStrategyPlacement	2187.15466667	0.0	24.8422886959	0.0	2047.12	0.0	10.0	0.0	0.305934354565	2.82195997238	18.8666666667	20.0	10.0	76.0	0.305934354565	77.1333333333	10.0	0.0	96.0	0.0	96.0
0	0	0.0	10.0	0.0	0.0	3.23082850774	0.0125675383633	EvolutionaryComputationStrategyPlacement	2192.776	0.0	25.3798293506	0.0	1981.84	0.0	10.0	0.0	0.397117818415	3.15592002869	18.8	20.0	10.0	92.0	0.397117818415	93.2	10.0	0.0	112.0	0.0	112.0
0	0	0.0	10.0	0.0	0.0	3.58325212797	0.0140083634548	EvolutionaryComputationStrategyPlacement	2198.624	0.0	28.2404794688	0.0	1998.16	0.0	10.0	0.0	0.301979845086	3.49818992615	19.0333333333	20.0	10.0	108.0	0.301979845086	108.966666667	10.0	0.0	128.0	0.0	128.0
0	0	0.0	10.0	0.0	0.0	3.91849254767	0.0132525189035	EvolutionaryComputationStrategyPlacement	2206.92	0.0	22.429531777	0.0	2079.76	0.0	10.0	0.0	0.300650116719	3.84490203857	19.2	20.0	10.0	124.0	0.300650116719	124.8	10.0	0.0	144.0	0.0	144.0
0	0	0.0	10.0	0.0	0.0	4.2640803655	0.0153365557969	EvolutionaryComputationStrategyPlacement	2210.864	0.0	18.404909565	0.0	2089.28	0.0	10.0	0.0	0.270336225718	4.17429280281	19.4	20.0	10.0	140.0	0.270336225718	140.6	10.0	0.0	160.0	0.0	160.0
0	0	0.0	10.0	0.0	0.0	4.56592399279	0.0136779286957	EvolutionaryComputationStrategyPlacement	2208.46133333	0.0	19.9935944365	0.0	2087.92	0.0	10.0	0.0	0.251923927159	4.48078513145	19.4	20.0	10.0	156.0	0.251923927159	156.6	10.0	0.0	176.0	0.0	176.0
0	0	0.0	10.0	0.0	0.0	4.92727460861	0.0164947113236	EvolutionaryComputationStrategyPlacement	2204.608	0.0	24.5882303265	0.0	2077.04	0.0	10.0	0.0	0.222536403266	4.84006905556	19.3	20.0	10.0	172.0	0.222536403266	172.7	10.0	0.0	192.0	0.0	192.0
0	0	0.0	10.0	0.0	0.0	5.23792698383	0.017414668105	EvolutionaryComputationStrategyPlacement	2196.26666667	0.0	24.1219289078	0.0	2009.04	0.0	10.0	0.0	0.265551135639	5.14587497711	19.6666666667	20.0	10.0	188.0	0.265551135639	188.333333333	10.0	0.0	208.0	0.0	208.0
0	0	0.0	10.0	0.0	0.0	5.60193297863	0.0229237319067	EvolutionaryComputationStrategyPlacement	2196.312	0.0	25.126563847	0.0	2064.8	0.0	10.0	0.0	0.254770615563	5.49281692505	19.5	20.0	10.0	204.0	0.254770615563	204.5	10.0	0.0	224.0	0.0	224.0
0	0	0.0	10.0	0.0	0.0	5.87825469176	0.0180745176931	EvolutionaryComputationStrategyPlacement	2222.968	0.0	22.8114224567	0.0	2052.56	0.0	10.0	0.0	0.213344275769	5.77420806885	19.5333333333	20.0	10.0	220.0	0.213344275769	220.466666667	10.0	0.0	240.0	0.0	240.0
0	0	0.0	10.0	0.0	0.0	6.2304463466	0.0281629023651	EvolutionaryComputationStrategyPlacement	2190.23733333	0.0	27.4176549015	0.0	2000.88	0.0	10.0	0.0	0.305147552522	6.11937117577	19.4333333333	20.0	10.0	236.0	0.305147552522	236.566666667	10.0	0.0	256.0	0.0	256.0
