strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	60.0	0.0	0.0	1.47861483892	0.0223570416306	EvolutionaryComputationStrategyPlacement	3046.57333333	0.167949284773	18.3064720402	47.2666666667	3046.57333333	47.2666666667	12.7333333333	0.0	0.0	1.47861483892	16.0	16.0	60.0	0.0	0.0	0.0	12.7333333333	0.0	16.0	0.167949284773	16.0
0	0	0.0	60.0	0.0	0.0	3.11553616524	0.041631834434	EvolutionaryComputationStrategyPlacement	5181.29333333	0.258207284358	28.144593995	36.0666666667	5181.29333333	36.0666666667	23.9333333333	0.0	0.0	3.11553616524	32.0	32.0	60.0	0.0	0.0	0.0	23.9333333333	0.0	32.0	0.258207284358	32.0
0	0	0.0	60.0	0.0	0.0	4.73438522021	0.056718278532	EvolutionaryComputationStrategyPlacement	7004.66	0.327442376515	35.6912190402	26.7	7004.66	26.7	33.3	0.0	0.0	4.73438522021	48.0	48.0	60.0	0.0	0.0	0.0	33.3	0.0	48.0	0.327442376515	48.0
0	0	0.0	60.0	0.0	0.0	6.91380958557	0.0671707607127	EvolutionaryComputationStrategyPlacement	9191.44666667	0.368002000258	40.1122180281	15.8333333333	9191.44666667	15.8333333333	44.1666666667	0.0	0.0	6.91380958557	64.0	64.0	60.0	0.0	0.0	0.0	44.1666666667	0.0	64.0	0.368002000258	64.0
0	0	0.0	60.0	0.0	0.0	9.33541299502	0.107493612729	EvolutionaryComputationStrategyPlacement	11124.22	0.450975175078	49.1562940835	5.7	11124.22	5.7	54.3	0.0	0.0	9.33541299502	80.0	80.0	60.0	0.0	0.0	0.0	54.3	0.0	80.0	0.450975175078	80.0
0	0	0.0	60.0	0.0	0.0	11.9601922274	0.0822612580828	EvolutionaryComputationStrategyPlacement	11909.0826667	0.0	58.1962289071	0.0	11909.0826667	0.0	60.0	0.0	0.504642442187	11.9601922274	89.0333333333	89.0333333333	60.0	6.96666666667	0.504642442187	6.96666666667	60.0	0.0	96.0	0.0	96.0
0	0	0.0	60.0	0.0	0.0	13.7797681252	0.108113573381	EvolutionaryComputationStrategyPlacement	11975.632	0.0	90.1363715443	0.0	11975.632	0.0	60.0	0.0	0.768911138919	13.7797681252	94.9666666667	94.9666666667	60.0	17.0333333333	0.768911138919	17.0333333333	60.0	0.0	112.0	0.0	112.0
0	0	0.0	60.0	0.0	0.0	15.9089090506	0.0857755026896	EvolutionaryComputationStrategyPlacement	11943.3546667	0.0	88.5916636458	0.0	11943.3546667	0.0	60.0	0.0	0.831692035906	15.9089090506	97.7333333333	97.7333333333	60.0	30.2666666667	0.831692035906	30.2666666667	60.0	0.0	128.0	0.0	128.0
0	0	0.0	60.0	0.0	0.0	17.9190331459	0.0775579550636	EvolutionaryComputationStrategyPlacement	11833.5573333	0.0	112.15155887	0.0	11833.5573333	0.0	60.0	0.0	1.20260046688	17.9190331459	99.8	99.8	60.0	44.2	1.20260046688	44.2	60.0	0.0	144.0	0.0	144.0
0	0	0.0	60.0	0.0	0.0	19.9339380741	0.11072803824	EvolutionaryComputationStrategyPlacement	11872.272	0.0	142.4143671	0.0	11872.272	0.0	60.0	0.0	0.895977988832	19.9339380741	97.6333333333	97.6333333333	60.0	62.3666666667	0.895977988832	62.3666666667	60.0	0.0	160.0	0.0	160.0
0	0	0.0	60.0	0.0	0.0	21.8279846748	0.0831452062331	EvolutionaryComputationStrategyPlacement	11785.5493333	0.0	152.406061791	0.0	11785.5493333	0.0	60.0	0.0	0.91989611787	21.8279846748	100.0	100.0	60.0	76.0	0.91989611787	76.0	60.0	0.0	176.0	0.0	176.0
0	0	0.0	60.0	0.0	0.0	23.5966469924	0.123250671936	EvolutionaryComputationStrategyPlacement	12077.9493333	0.0	148.806004407	0.0	12077.9493333	0.0	60.0	0.0	0.895262208419	23.5966469924	104.1	104.1	60.0	87.9	0.895262208419	87.9	60.0	0.0	192.0	0.0	192.0
0	0	0.0	60.0	0.0	0.0	25.3980645339	0.116168147031	EvolutionaryComputationStrategyPlacement	12146.856	0.0	138.818221871	0.0	12146.856	0.0	60.0	0.0	0.913251656728	25.3980645339	107.533333333	107.533333333	60.0	100.466666667	0.913251656728	100.466666667	60.0	0.0	208.0	0.0	208.0
0	0	0.0	60.0	0.0	0.0	27.2811444203	0.150042527132	EvolutionaryComputationStrategyPlacement	12045.6266667	0.0	112.440718266	0.0	12045.6266667	0.0	60.0	0.0	1.18926648972	27.2811444203	109.833333333	109.833333333	60.0	114.166666667	1.18926648972	114.166666667	60.0	0.0	224.0	0.0	224.0
0	0	0.0	60.0	0.0	0.0	29.3180809895	0.166821010663	EvolutionaryComputationStrategyPlacement	12083.6613333	0.0	135.875711251	0.0	12083.6613333	0.0	60.0	0.0	0.955447470752	29.3180809895	110.066666667	110.066666667	60.0	129.933333333	0.955447470752	129.933333333	60.0	0.0	240.0	0.0	240.0
0	0	0.0	60.0	0.0	0.0	31.1041934649	0.158738458195	EvolutionaryComputationStrategyPlacement	12051.7466667	0.0	104.863517385	0.0	12051.7466667	0.0	60.0	0.0	1.02543194712	31.1041934649	112.9	112.9	60.0	143.1	1.02543194712	143.1	60.0	0.0	256.0	0.0	256.0
0	0	0.0	60.0	0.0	0.0	32.9938268503	0.181390112901	EvolutionaryComputationStrategyPlacement	12094.088	0.0	142.157163235	0.0	12094.088	0.0	60.0	0.0	1.27737097446	32.9938268503	115.233333333	115.233333333	60.0	156.766666667	1.27737097446	156.766666667	60.0	0.0	272.0	0.0	272.0
0	0	0.0	60.0	0.0	0.0	35.0351866643	0.186973524063	EvolutionaryComputationStrategyPlacement	12347.9546667	0.0	124.300504045	0.0	12347.9546667	0.0	60.0	0.0	1.04309707873	35.0351866643	115.7	115.7	60.0	172.3	1.04309707873	172.3	60.0	0.0	288.0	0.0	288.0
