#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
80	16	12	68	0	16	0	3066.64	OpenOptStrategyPlacement	0.1261429786682129
80	32	24	56	0	32	0	5288.5599999999995	OpenOptStrategyPlacement	0.25229692459106445
80	48	34	46	0	48	0	7180.960000000002	OpenOptStrategyPlacement	0.44302892684936523
80	64	45	35	0	64	0	9382.280000000002	OpenOptStrategyPlacement	0.7039740085601807
80	80	54	26	0	80	0	11191.52	OpenOptStrategyPlacement	1.0348398685455322
80	96	64	16	0	96	0	13002.320000000007	OpenOptStrategyPlacement	1.393273115158081
80	112	73	7	0	112	0	14874.120000000004	OpenOptStrategyPlacement	1.8298439979553223
80	128	80	0	0	124	4	16221.92	OpenOptStrategyPlacement	2.3317208290100098
80	144	80	0	0	131	13	16235.520000000002	OpenOptStrategyPlacement	2.88736891746521
80	160	80	0	0	136	24	16604.08	OpenOptStrategyPlacement	3.514101982116699
80	176	80	0	0	141	35	18608.72	OpenOptStrategyPlacement	4.131500959396362
80	192	80	0	0	150	42	18585.6	OpenOptStrategyPlacement	4.685302972793579
80	208	80	0	0	156	52	17183.440000000002	OpenOptStrategyPlacement	5.2400829792022705
80	224	80	0	0	163	61	17838.960000000006	OpenOptStrategyPlacement	5.716308832168579
80	240	80	0	0	171	69	17455.440000000002	OpenOptStrategyPlacement	6.30590295791626
80	256	80	0	0	176	80	17844.399999999994	OpenOptStrategyPlacement	6.936306953430176
80	272	80	0	0	182	90	17649.920000000002	OpenOptStrategyPlacement	7.503890037536621
80	288	80	0	0	190	98	18446.88000000001	OpenOptStrategyPlacement	8.194292068481445
