#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	5	95	0	16	0	1291.1599999999999	OpenOptStrategyPlacement	0.07901692390441895
100	32	13	87	0	32	0	2817.32	OpenOptStrategyPlacement	0.12597298622131348
100	48	16	84	0	48	0	3644.7999999999997	OpenOptStrategyPlacement	0.18459701538085938
100	64	22	78	0	64	0	4721.76	OpenOptStrategyPlacement	0.30763697624206543
100	80	28	72	0	80	0	5781.040000000001	OpenOptStrategyPlacement	0.4642918109893799
100	96	34	66	0	96	0	6828.079999999998	OpenOptStrategyPlacement	0.6435151100158691
100	112	41	59	0	112	0	8581.159999999998	OpenOptStrategyPlacement	0.8631758689880371
100	128	43	57	0	128	0	9092.919999999998	OpenOptStrategyPlacement	1.0167081356048584
100	144	48	52	0	144	0	10248.56	OpenOptStrategyPlacement	1.5139589309692383
100	160	51	49	0	160	0	11097.8	OpenOptStrategyPlacement	1.7364940643310547
100	176	60	40	0	176	0	12947.840000000002	OpenOptStrategyPlacement	2.1666908264160156
100	192	63	37	0	192	0	13487.000000000002	OpenOptStrategyPlacement	2.388599157333374
100	208	66	34	0	208	0	14394.720000000001	OpenOptStrategyPlacement	2.6354517936706543
100	224	74	26	0	224	0	15722.320000000003	OpenOptStrategyPlacement	3.7188968658447266
100	240	77	23	0	240	0	16770.120000000006	OpenOptStrategyPlacement	3.4657299518585205
100	256	85	15	0	256	0	18012.04	OpenOptStrategyPlacement	4.110888957977295
100	272	87	13	0	272	0	18727.800000000003	OpenOptStrategyPlacement	4.7585461139678955
100	288	93	7	0	288	0	19946.199999999997	OpenOptStrategyPlacement	5.2459540367126465
