strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	60.0	0.0	0.0	0.668660966555	0.0291708246748	EvolutionaryComputationStrategyPlacement	1160.19333333	0.183018489991	19.949015409	54.3666666667	1160.19333333	54.3666666667	5.63333333333	0.0	0.0	0.668660966555	16.0	16.0	60.0	0.0	0.0	0.0	5.63333333333	0.0	16.0	0.183018489991	16.0
0	0	0.0	60.0	0.0	0.0	1.70584695339	0.0626446194471	EvolutionaryComputationStrategyPlacement	2635.48666667	0.221091346403	24.098956758	46.8333333333	2635.48666667	46.8333333333	13.1666666667	0.0	0.0	1.70584695339	32.0	32.0	60.0	0.0	0.0	0.0	13.1666666667	0.0	32.0	0.221091346403	32.0
0	0	0.0	60.0	0.0	0.0	2.36186432838	0.0801948341489	EvolutionaryComputationStrategyPlacement	3532.0	0.266755455358	29.076344634	43.2	3532.0	43.2	16.8	0.0	0.0	2.36186432838	48.0	48.0	60.0	0.0	0.0	0.0	16.8	0.0	48.0	0.266755455358	48.0
0	0	0.0	60.0	0.0	0.0	3.31060923735	0.102369837124	EvolutionaryComputationStrategyPlacement	4503.59333333	0.326462007918	35.5843588631	38.1666666667	4503.59333333	38.1666666667	21.8333333333	0.0	0.0	3.31060923735	64.0	64.0	60.0	0.0	0.0	0.0	21.8333333333	0.0	64.0	0.326462007918	64.0
0	0	0.0	60.0	0.0	0.0	4.63048914274	0.151717420714	EvolutionaryComputationStrategyPlacement	5573.77333333	0.309061533153	33.6877071137	32.0666666667	5573.77333333	32.0666666667	27.9333333333	0.0	0.0	4.63048914274	80.0	80.0	60.0	0.0	0.0	0.0	27.9333333333	0.0	80.0	0.309061533153	80.0
0	0	0.0	60.0	0.0	0.0	6.14294943015	0.133147670824	EvolutionaryComputationStrategyPlacement	6631.71333333	0.45451506593	49.5421421863	25.9666666667	6631.71333333	25.9666666667	34.0333333333	0.0	0.0	6.14294943015	96.0	96.0	60.0	0.0	0.0	0.0	34.0333333333	0.0	96.0	0.45451506593	96.0
0	0	0.0	60.0	0.0	0.0	8.18143543402	0.11647124131	EvolutionaryComputationStrategyPlacement	8461.09333333	0.415267516373	45.2641592846	18.2666666667	8461.09333333	18.2666666667	41.7333333333	0.0	0.0	8.18143543402	112.0	112.0	60.0	0.0	0.0	0.0	41.7333333333	0.0	112.0	0.415267516373	112.0
0	0	0.0	60.0	0.0	0.0	10.4409364462	0.164140623187	EvolutionaryComputationStrategyPlacement	9536.02	0.503370499541	54.86738445	11.1	9536.02	11.1	48.9	0.0	0.0	10.4409364462	128.0	128.0	60.0	0.0	0.0	0.0	48.9	0.0	128.0	0.503370499541	128.0
0	0	0.0	60.0	0.0	0.0	12.8342263619	0.165119910966	EvolutionaryComputationStrategyPlacement	10855.16	0.640032827308	69.7635781766	4.6	10855.16	4.6	55.4	0.0	0.0	12.8342263619	144.0	144.0	60.0	0.0	0.0	0.0	55.4	0.0	144.0	0.640032827308	144.0
0	0	0.0	60.0	0.0	0.0	15.1207309167	0.164599724034	EvolutionaryComputationStrategyPlacement	11720.5466667	0.205695025179	43.3443939387	0.2	11720.5466667	0.2	59.8	0.0	0.623929589373	15.1207309167	158.033333333	158.033333333	60.0	1.96666666667	0.623929589373	1.96666666667	59.8	0.0	160.0	0.205695025179	160.0
